Core;Core.ID;Ecosystem;Location;V vs B;Status;Specie;Life form;Lat;Long;Bioregions;Habitat.type;Water.Depth;Sampling Year;Min.Depth;Max.Depth;DBD;Corg;Corg_ gcm3;d13C;Mud
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;28.9302;30.0429;0.815311069;1.748018133;0.014251785;-10.9980887;4.61E-07
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;31.1556;32.2683;1.062889313;0.717461241;0.007625819;-10.75923672;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;33.381;34.4937;1.065911422;0.880624283;0.009386675;-10.69279454;1.50796
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;35.6064;36.7191;1.05781829;0.71534697;0.007567071;-10.97312755;1.534810985
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;37.8318;38.9445;1.031268633;0.550069657;0.005672696;-11.25346057;1.586365
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;40.0572;41.1699;1.140840625;0.564491024;0.006439943;-10.81234865;4.94E-07
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;42.2826;43.3953;1.207078068;0.64993789;0.007845258;-11.54518473;1.439769
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;44.508;45.6207;1.105169418;0.620959978;0.00686266;-11.33257018;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;46.7334;47.8461;1.177947408;0.409509865;0.004823811;-11.20631553;4.75E-07
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;48.9588;50.0715;1.176456609;0.392731498;0.004620316;-12.49973631;
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;51.1842;52.2969;1.197564976;0.443443862;0.005310528;-11.97339776;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;53.4096;54.5223;1.060204427;0.494156227;0.005239066;-11.44705921;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;55.635;56.7477;1.050619365;0.418569242;0.00439757;-11.76105188;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;57.8604;58.9731;1.241112497;0.418569242;0.005194915;-12.07504455;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;60.0858;61.1985;1.180999618;0.4321;0.005103099;-11.87860406;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;62.3112;63.4239;1.338592206;0.361229985;0.004835396;-11.68216357;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;64.5366;65.6493;1.480699003;0.342982258;0.005078535;-13.03800124;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;66.762;67.8747;1.236619506;0.311633679;0.003853723;-13.07371425;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;68.9874;70.1001;1.323643256;0.303890727;0.004022429;-13.66966897;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;71.2128;72.3255;1.256581088;0.209853307;0.002636977;-13.77420418;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;73.4382;74.5509;1.274082071;0.294263853;0.003749163;-15.66934335;0
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;75.6636;76.7763;0.964544593;0.15089188;0.001455419;-14.80130026;4.69E-07
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;77.77812346;78.88923951;0.964544593;0.536260879;0.005172475;-13.93325718;0
Sg_004;K;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;2012;0;1.1429;0.583620115;1.391346526;0.008120178;-13.2401422;3.919102012
Sg_004;K;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;2012;2.2858;3.4287;0.511094476;0.66568766;0.003402293;-14.65301847;4.100233837
Sg_004;K;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;2012;4.5716;5.7145;0.897976943;1.5653601;0.014056573;-13.45888332;2.423518
Sg_004;K;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;2012;6.8574;8.0003;0.596073838;1.728873733;0.010305364;-13.08255507;3.215838339
Sg_004;K;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;2012;9.1432;10.2861;0.907249226;1.953672376;0.017724678;-11.28563976;2.568747496
Sg_004;K;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;2012;11.429;12.5719;0.749029946;0.43353079;0.003247275;-14.94225582;3.379519858
Sg_004;K;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;2012;13.7148;14.8577;0.789367056;0.493853291;0.003898315;-13.51994401;1.722198027
Sg_004;K;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;2012;16.0006;17.1435;1.014904024;0.528200243;0.005360726;-12.09763221;
