ID;Ecosystem;Lat;Long;nearest_long;nearest_lat;nitratos;pH;phosphates;temperature;water.velocity;salinidade
Mg_ 1127;Mangrove;20.48278;86.69051;86.77500294;20.47499965;7.39665063;8.11205027;0.01871826;27.82117846;27.89317117;0.05196066
Mg_ 1128;Mangrove;10.1338045;-85.24459889;-85.22500289;10.12499983;0.35912566;8.02831656;0.24647183;30.01044236;29.90198338;0.01331697
Mg_ 1129;Mangrove;10.13358179;-85.24463764;-85.22500289;10.12499983;0.35912566;8.02831656;0.24647183;30.01044236;29.90198338;0.01331697
Mg_ 1130;Mangrove;10.13335909;-85.24467639;-85.22500289;10.12499983;0.35912566;8.02831656;0.24647183;30.01044236;29.90198338;0.01331697
Mg_ 1131;Mangrove;10.13313638;-85.24471514;-85.22500289;10.12499983;0.35912566;8.02831656;0.24647183;30.01044236;29.90198338;0.01331697
Mg_ 1132;Mangrove;10.13291367;-85.24475388;-85.22500289;10.12499983;0.35912566;8.02831656;0.24647183;30.01044236;29.90198338;0.01331697
Mg_ 1133;Mangrove;10.13269096;-85.24479263;-85.22500289;10.12499983;0.35912566;8.02831656;0.24647183;30.01044236;29.90198338;0.01331697
Mg_ 1134;Mangrove;9.974411225;-85.11858459;-85.12500289;10.02499983;0.30773759;8.02745612;0.24367377;29.99700308;29.99027635;0.01329332
Mg_ 1135;Mangrove;9.974190842;-85.11863512;-85.12500289;10.02499983;0.30773759;8.02745612;0.24367377;29.99700308;29.99027635;0.01329332
Mg_ 1136;Mangrove;9.973970459;-85.11868566;-85.12500289;10.02499983;0.30773759;8.02745612;0.24367377;29.99700308;29.99027635;0.01329332
Mg_ 1137;Mangrove;9.973750076;-85.11873619;-85.12500289;10.02499983;0.30773759;8.02745612;0.24367377;29.99700308;29.99027635;0.01329332
Mg_ 1138;Mangrove;9.973529693;-85.11878672;-85.12500289;10.02499983;0.30773759;8.02745612;0.24367377;29.99700308;29.99027635;0.01329332
Mg_ 1139;Mangrove;9.97330931;-85.11883725;-85.12500289;10.02499983;0.30773759;8.02745612;0.24367377;29.99700308;29.99027635;0.01329332
Mg_ 1146;Mangrove;-5.85578;106.60097;106.6250036;-5.8749999;0.67847422;8.06280178;0.20119347;29.08842953;29.00001104;0.18439474
Mg_ 1147;Mangrove;-5.85769;106.60175;106.6250036;-5.8749999;0.67847422;8.06280178;0.20119347;29.08842953;29.00001104;0.18439474
Mg_ 1161;Mangrove;-0.652083;109.361056;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1162;Mangrove;-0.652083;109.361056;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1163;Mangrove;-0.652083;109.361056;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1164;Mangrove;-0.652083;109.361056;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1165;Mangrove;-0.652083;109.361056;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1166;Mangrove;-0.652083;109.361056;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1167;Mangrove;-0.632361;109.395389;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1168;Mangrove;-0.632361;109.395389;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1169;Mangrove;-0.632361;109.395389;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1170;Mangrove;-0.632361;109.395389;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1171;Mangrove;-0.632361;109.395389;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1172;Mangrove;-0.632361;109.395389;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1173;Mangrove;-0.663333;109.451889;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1174;Mangrove;-0.663333;109.451889;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1175;Mangrove;-0.663333;109.451889;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1176;Mangrove;-0.663333;109.451889;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1177;Mangrove;-0.663333;109.451889;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1178;Mangrove;-0.663333;109.451889;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1179;Mangrove;-0.669889;109.446722;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1180;Mangrove;-0.669889;109.446722;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1181;Mangrove;-0.669889;109.446722;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1182;Mangrove;-0.669889;109.446722;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1183;Mangrove;-0.669889;109.446722;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1184;Mangrove;-0.669889;109.446722;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1185;Mangrove;-0.668139;109.437694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1186;Mangrove;-0.668139;109.437694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1187;Mangrove;-0.668139;109.437694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1188;Mangrove;-0.668139;109.437694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1189;Mangrove;-0.668139;109.437694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1190;Mangrove;-0.668139;109.437694;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1191;Mangrove;-0.67475;109.454194;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1192;Mangrove;-0.67475;109.454194;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
Mg_ 1193;Mangrove;-0.67475;109.454194;109.3750037;-0.674999989;1.14575492;8.01066649;0.00101906;29.82685099;29.80139625;0.03227003
