"","ID","Ecosystem","Av_C","SE_C","M_C","Av_Mud","SE_Mud","M_Mud","Av_13C","SE_13C","M_13C","Av_C_25","SE_C_25","M_C_25","Av_Mud_25","SE_Mud_25","M_Mud_25","Av_13C_25","SE_13C_25","M_13C_25"
"97","Mg_102","Mangrove",0.22586454925,0.00550213725120004,0.2316504145,NA,NA,NA,NA,NA,NA,0.2186962437,0.00826798008190925,0.227792132,NA,NA,NA,NA,NA,NA
"98","Mg_103","Mangrove",0.0923183042571429,0.00417508284719659,0.094314694,NA,NA,NA,NA,NA,NA,0.08805151192,0.00552334472897942,0.084636001,NA,NA,NA,NA,NA,NA
"99","Mg_104","Mangrove",0.325584375653846,0.00534348448583689,0.319899801,NA,NA,NA,NA,NA,NA,0.3286818559,0.0067688013509601,0.329065997,NA,NA,NA,NA,NA,NA
"100","Mg_105","Mangrove",0.171379566571429,0.00919052082495944,0.162485151,NA,NA,NA,NA,NA,NA,0.17260861875,0.00957534437831598,0.1651082035,NA,NA,NA,NA,NA,NA
"101","Mg_106","Mangrove",0.059646496375,0.00202174677533784,0.057995609,NA,NA,NA,NA,NA,NA,0.05990194365,0.00242016272601308,0.057995609,NA,NA,NA,NA,NA,NA
"102","Mg_107","Mangrove",0.0529375973333333,0.018673841117589,0.022733069,NA,NA,NA,-23.95116358,NA,-23.95116358,0.084215243,0.072313896,0.084215243,NA,NA,NA,NA,NA,-23.95116358
"103","Mg_108","Mangrove",0.0199821536666667,0.0121806140533591,0.005918108,NA,NA,NA,NA,NA,NA,0.076677988,NA,0.076677988,NA,NA,NA,NA,NA,NA
"104","Mg_109","Mangrove",0.1549580481,0.0233620724794125,0.183493542,NA,NA,NA,-24.537766205,0.320098551740096,-24.839802745,0.2245613945,0.0276207265,0.2245613945,NA,NA,NA,-24.60501857,0.54958766,-24.839802745
"105","Mg_110","Mangrove",0.017188375,0.00236773221579033,0.015633719,NA,NA,NA,-11.4677486364,0.918311203168063,-10.88697483,0.024802302,NA,0.024802302,NA,NA,NA,-13.19210646,NA,-10.88697483
"106","Mg_111","Mangrove",0.2528949404,0.0243407655170235,0.267587045,NA,NA,NA,-24.510123158,0.272495777354861,-24.771685,0.185569175,NA,0.185569175,NA,NA,NA,-23.44756536,NA,-24.771685
